study_accession	sample_accession	secondary_sample_accession	sample_alias	experiment_accession	run_accession	scientific_name	instrument_model	library_layout	library_source	library_selection	read_count	base_count	experiment_title	fastq_ftp
PRJEB634	SAMEA1712277	ERS188199	A17787-sc-2012-11-09T12:20:54Z-1500135	ERX209617	ERR235112	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1205984	241196800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235112/ERR235112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235112/ERR235112_2.fastq.gz
PRJEB634	SAMEA1712271	ERS188200	D6007-sc-2012-11-09T12:20:55Z-1500136	ERX209618	ERR235113	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1911891	382378200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235113/ERR235113_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235113/ERR235113_2.fastq.gz
PRJEB634	SAMEA1712469	ERS188201	A54341-sc-2012-11-09T12:20:56Z-1500137	ERX209619	ERR235114	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1281348	256269600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235114/ERR235114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235114/ERR235114_2.fastq.gz
PRJEB634	SAMEA1712453	ERS188202	A55767-sc-2012-11-09T12:20:57Z-1500138	ERX209620	ERR235115	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2171779	434355800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235115/ERR235115_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235115/ERR235115_2.fastq.gz
PRJEB634	SAMEA1712511	ERS188203	A32229-sc-2012-11-09T12:20:58Z-1500139	ERX209621	ERR235116	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1683726	336745200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235116/ERR235116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235116/ERR235116_2.fastq.gz
PRJEB634	SAMEA1712495	ERS188204	3493-sc-2012-11-09T12:20:58Z-1500140	ERX209622	ERR235117	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1746265	349253000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235117/ERR235117_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235117/ERR235117_2.fastq.gz
PRJEB634	SAMEA1712477	ERS188205	A40500-sc-2012-11-09T12:20:59Z-1500141	ERX209623	ERR235118	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1056059	211211800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235118/ERR235118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235118/ERR235118_2.fastq.gz
PRJEB634	SAMEA1712370	ERS188206	D5293-sc-2012-11-09T12:21:00Z-1500142	ERX209624	ERR235119	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1143850	228770000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235119/ERR235119_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235119/ERR235119_2.fastq.gz
PRJEB634	SAMEA1712356	ERS188207	D6437-sc-2012-11-09T12:21:01Z-1500143	ERX209625	ERR235120	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1100874	220174800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235120/ERR235120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235120/ERR235120_2.fastq.gz
PRJEB634	SAMEA1712443	ERS188208	543-sc-2012-11-09T12:21:02Z-1500144	ERX209626	ERR235121	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1522242	304448400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235121/ERR235121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235121/ERR235121_2.fastq.gz
PRJEB634	SAMEA1712402	ERS188209	A6563-sc-2012-11-09T12:21:03Z-1500145	ERX209627	ERR235122	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1799506	359901200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235122/ERR235122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235122/ERR235122_2.fastq.gz
PRJEB634	SAMEA1712347	ERS188210	A7830-sc-2012-11-09T12:21:04Z-1500146	ERX209628	ERR235123	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1722531	344506200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235123/ERR235123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235123/ERR235123_2.fastq.gz
PRJEB634	SAMEA1712291	ERS188211	A48291-sc-2012-11-09T12:21:05Z-1500147	ERX209629	ERR235124	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1377763	275552600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235124/ERR235124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235124/ERR235124_2.fastq.gz
PRJEB634	SAMEA1712303	ERS188212	A51300-sc-2012-11-09T12:21:06Z-1500148	ERX209630	ERR235125	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1670063	334012600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235125/ERR235125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235125/ERR235125_2.fastq.gz
PRJEB634	SAMEA1712241	ERS188213	A58824-sc-2012-11-09T12:21:07Z-1500149	ERX209631	ERR235126	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2503626	500725200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235126/ERR235126_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235126/ERR235126_2.fastq.gz
PRJEB634	SAMEA1712268	ERS188214	A28666-sc-2012-11-09T12:21:08Z-1500150	ERX209632	ERR235127	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1226425	245285000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235127/ERR235127_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235127/ERR235127_2.fastq.gz
PRJEB634	SAMEA1712214	ERS188215	A30023-sc-2012-11-09T12:21:09Z-1500151	ERX209633	ERR235128	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2370151	474030200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235128/ERR235128_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235128/ERR235128_2.fastq.gz
PRJEB634	SAMEA1712217	ERS188216	D3419-sc-2012-11-09T12:21:10Z-1500152	ERX209634	ERR235129	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2281734	456346800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235129/ERR235129_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235129/ERR235129_2.fastq.gz
PRJEB634	SAMEA1712236	ERS188217	A1284-sc-2012-11-09T12:21:11Z-1500153	ERX209635	ERR235130	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1727692	345538400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235130/ERR235130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235130/ERR235130_2.fastq.gz
PRJEB634	SAMEA1712500	ERS188218	548-sc-2012-11-09T12:21:12Z-1500154	ERX209636	ERR235131	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1568604	313720800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235131/ERR235131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235131/ERR235131_2.fastq.gz
PRJEB634	SAMEA1712494	ERS188219	A6379-sc-2012-11-09T12:21:12Z-1500155	ERX209637	ERR235132	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2400703	480140600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235132/ERR235132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235132/ERR235132_2.fastq.gz
PRJEB634	SAMEA1712429	ERS188220	D7378-sc-2012-11-09T12:21:14Z-1500156	ERX209638	ERR235133	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2396564	479312800	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235133/ERR235133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235133/ERR235133_2.fastq.gz
PRJEB634	SAMEA1712455	ERS188221	D56146-sc-2012-11-09T12:21:14Z-1500157	ERX209639	ERR235134	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3238456	647691200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235134/ERR235134_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235134/ERR235134_2.fastq.gz
PRJEB634	SAMEA1712471	ERS188222	A49455-sc-2012-11-09T12:21:15Z-1500158	ERX209640	ERR235135	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1701671	340334200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235135/ERR235135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235135/ERR235135_2.fastq.gz
PRJEB634	SAMEA1712483	ERS188223	D42756-sc-2012-11-09T12:21:16Z-1500159	ERX209641	ERR235136	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1783913	356782600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235136/ERR235136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235136/ERR235136_2.fastq.gz
PRJEB634	SAMEA1712503	ERS188224	A44764-sc-2012-11-09T12:21:17Z-1500160	ERX209642	ERR235137	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2095468	419093600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235137/ERR235137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235137/ERR235137_2.fastq.gz
PRJEB634	SAMEA1712223	ERS188225	A46872-sc-2012-11-09T12:21:18Z-1500161	ERX209643	ERR235138	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1454335	290867000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235138/ERR235138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235138/ERR235138_2.fastq.gz
PRJEB634	SAMEA1712234	ERS188226	D3421-sc-2012-11-09T12:21:19Z-1500162	ERX209644	ERR235139	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1228857	245771400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235139/ERR235139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235139/ERR235139_2.fastq.gz
PRJEB634	SAMEA1712227	ERS188227	A13216-sc-2012-11-09T12:21:20Z-1500163	ERX209645	ERR235140	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1964802	392960400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235140/ERR235140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235140/ERR235140_2.fastq.gz
PRJEB634	SAMEA1712248	ERS188228	2702-sc-2012-11-09T12:21:21Z-1500164	ERX209646	ERR235141	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1758860	351772000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235141/ERR235141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235141/ERR235141_2.fastq.gz
PRJEB634	SAMEA1712267	ERS188229	A7369-sc-2012-11-09T12:21:22Z-1500165	ERX209647	ERR235142	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2195462	439092400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235142/ERR235142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235142/ERR235142_2.fastq.gz
PRJEB634	SAMEA1712341	ERS188230	D11532-sc-2012-11-09T12:21:22Z-1500166	ERX209648	ERR235143	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2163762	432752400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235143/ERR235143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235143/ERR235143_2.fastq.gz
PRJEB634	SAMEA1712338	ERS188231	A49753-sc-2012-11-09T12:21:24Z-1500167	ERX209649	ERR235144	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1817641	363528200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235144/ERR235144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235144/ERR235144_2.fastq.gz
PRJEB634	SAMEA1712318	ERS188232	A48460-sc-2012-11-09T12:21:24Z-1500168	ERX209650	ERR235145	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1264573	252914600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235145/ERR235145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235145/ERR235145_2.fastq.gz
PRJEB634	SAMEA1712398	ERS188233	A59024-sc-2012-11-09T12:21:25Z-1500169	ERX209651	ERR235146	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1757016	351403200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235146/ERR235146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235146/ERR235146_2.fastq.gz
PRJEB634	SAMEA1712423	ERS188234	A34057-sc-2012-11-09T12:21:26Z-1500170	ERX209652	ERR235147	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1082491	216498200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235147/ERR235147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235147/ERR235147_2.fastq.gz
PRJEB634	SAMEA1712360	ERS188235	A46756-sc-2012-11-09T12:21:27Z-1500171	ERX209653	ERR235148	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2393495	478699000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235148/ERR235148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235148/ERR235148_2.fastq.gz
PRJEB634	SAMEA1712368	ERS188236	A17698-sc-2012-11-09T12:21:28Z-1500172	ERX209654	ERR235149	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1276610	255322000	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235149/ERR235149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235149/ERR235149_2.fastq.gz
PRJEB634	SAMEA1712481	ERS188237	A12756-sc-2012-11-09T12:21:29Z-1500173	ERX209655	ERR235150	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1237623	247524600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235150/ERR235150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235150/ERR235150_2.fastq.gz
PRJEB634	SAMEA1712485	ERS188238	3857-sc-2012-11-09T12:21:30Z-1500174	ERX209656	ERR235151	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2957708	591541600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235151/ERR235151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235151/ERR235151_2.fastq.gz
PRJEB634	SAMEA1712512	ERS188239	A9086-sc-2012-11-09T12:21:31Z-1500175	ERX209657	ERR235152	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1846103	369220600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235152/ERR235152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235152/ERR235152_2.fastq.gz
PRJEB634	SAMEA1712278	ERS188240	D11334-sc-2012-11-09T12:21:32Z-1500176	ERX209658	ERR235153	Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	3352538	670507600	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235153/ERR235153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235153/ERR235153_2.fastq.gz
PRJEB634	SAMEA1712255	ERS188241	A59040-sc-2012-11-09T12:21:33Z-1500177	ERX209659	ERR235154	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2907657	581531400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235154/ERR235154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235154/ERR235154_2.fastq.gz
PRJEB634	SAMEA1712250	ERS188242	D43980-sc-2012-11-09T12:21:34Z-1500178	ERX209660	ERR235155	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	1945782	389156400	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235155/ERR235155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235155/ERR235155_2.fastq.gz
PRJEB634	SAMEA1712229	ERS188243	A57601-sc-2012-11-09T12:21:34Z-1500179	ERX209661	ERR235156	Salmonella enterica subsp. enterica serovar Enteritidis	Illumina HiSeq 2000	PAIRED	GENOMIC	RANDOM	2487736	497547200	Illumina HiSeq 2000 paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235156/ERR235156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/ERR235156/ERR235156_2.fastq.gz
